# BSL Gesture Data
"# User: 004, Gesture: 9 (Nine), Sample: 8"
timestamp_ms,thumb,index,middle,ring,pinky
1.660,0,79,357,1,0
22.027,0,75,355,0,0
43.071,0,80,356,0,0
64.022,0,77,360,1,0
85.088,0,77,364,0,0
106.038,0,84,364,1,0
127.075,2,82,365,2,0
148.059,0,82,364,3,1
169.050,0,81,366,3,0
190.035,0,81,364,2,0
211.033,0,87,367,4,2
232.038,0,81,367,3,0
253.057,0,83,366,7,0
274.079,0,82,365,4,0
295.065,0,86,367,2,0
316.056,0,84,360,5,0
337.065,0,84,350,7,4
358.052,2,76,340,19,7
379.229,0,78,356,35,5
400.062,0,78,359,27,6
421.051,0,74,357,29,7
442.075,0,77,348,52,6
463.158,0,73,354,36,31
484.081,0,67,350,51,50
505.269,0,68,368,98,137
526.045,0,71,374,120,218
547.159,0,72,356,125,251
568.122,0,66,362,145,246
589.046,0,89,358,166,251
610.072,0,72,359,150,252
631.102,0,69,342,133,254
652.091,0,69,321,151,257
673.024,0,67,309,140,257
694.171,0,65,314,116,272
715.063,0,63,304,126,271
736.191,0,63,299,175,274
757.312,0,69,303,171,289
778.202,0,72,283,147,291
799.118,0,70,268,142,295
820.073,0,96,266,134,297
841.077,0,103,262,153,293
862.153,0,98,258,142,288
883.062,0,109,267,157,290
904.161,0,116,253,149,291
925.102,0,111,278,149,294
946.071,0,117,256,152,288
967.083,0,110,262,143,296
988.060,0,110,279,134,290
1009.028,0,116,250,146,290
1030.023,0,114,249,123,292
1051.060,0,118,256,127,293
1072.048,0,126,256,127,294
1093.036,0,125,264,127,293
1114.004,0,118,260,120,293
1135.018,0,132,255,119,298
1156.023,0,133,255,113,300
1177.022,0,127,252,112,299
1198.012,0,129,245,108,300
1219.028,0,115,260,112,301
1240.025,0,116,265,110,302
1261.053,0,116,253,110,302
1282.037,0,116,259,111,301
1303.018,0,116,265,117,302
1324.111,0,123,269,116,302
1351.508,0,114,269,115,302
1366.022,0,117,268,109,302
1387.108,0,122,269,107,302
1408.067,0,122,276,110,301
1429.130,0,127,275,109,299
1450.042,0,126,281,105,300
1471.064,0,121,277,105,300
1492.038,0,125,275,106,302
1513.015,0,123,277,110,301
1534.075,0,121,277,116,302
1555.208,0,120,277,114,302
1576.065,2,115,279,118,302
1597.254,0,111,278,119,301
1618.040,1,100,278,121,301
1639.096,0,100,280,117,302
1660.066,0,106,279,122,300
1681.007,0,112,279,117,303
1702.113,0,113,279,120,301
1723.086,0,117,279,121,301
1744.065,0,117,279,121,300
1765.039,0,116,278,123,301
1786.048,0,116,281,119,299
1807.051,0,117,277,125,300
1828.039,0,117,278,121,299
1849.001,0,116,277,119,299
1870.143,0,116,276,104,298
1891.081,0,112,277,106,297
1912.143,0,106,274,113,297
1933.114,0,84,278,112,295
1954.157,0,82,277,115,298
1975.151,0,82,277,105,296
1996.049,0,76,276,110,297
2017.062,0,76,277,107,295
