# BSL Gesture Data
"# User: 005, Gesture: 9 (Nine), Sample: 7"
timestamp_ms,thumb,index,middle,ring,pinky
2.022,14,83,496,30,51
22.886,15,84,496,27,51
43.839,17,85,498,28,50
64.945,16,83,497,28,49
86.223,14,87,494,35,50
106.871,15,88,494,122,51
127.877,16,88,495,116,50
149.241,16,90,497,128,50
170.600,16,90,500,153,50
190.895,14,91,498,136,50
211.896,16,90,493,131,52
232.870,16,89,494,143,50
255.280,15,89,492,148,48
274.864,16,89,495,151,47
295.863,16,91,491,151,48
316.871,15,93,491,152,45
337.865,15,94,495,154,44
358.891,15,95,480,151,42
379.862,16,97,477,147,44
400.819,18,93,472,123,43
421.829,18,94,458,147,41
442.831,18,92,450,163,175
463.841,14,92,406,175,211
484.833,21,100,370,169,242
505.843,92,92,362,149,237
527.877,122,72,395,123,278
547.962,117,71,418,145,310
568.834,124,74,355,209,320
589.818,151,79,356,157,330
610.805,152,81,326,87,344
632.070,161,78,360,88,352
652.823,181,78,347,99,355
673.825,167,80,366,101,355
694.806,154,77,316,125,357
715.817,161,69,315,102,362
736.845,169,52,320,105,361
757.826,174,59,315,115,361
778.826,176,50,313,120,356
799.859,180,46,310,115,358
820.822,173,55,294,143,357
841.914,176,54,297,143,355
862.826,177,54,288,167,354
883.850,177,51,285,144,356
904.907,178,55,289,157,353
925.831,186,53,291,170,355
948.295,182,55,295,185,355
967.824,183,55,291,197,354
988.876,179,60,291,193,355
1009.812,175,57,298,188,354
1030.824,173,58,301,188,356
1051.816,181,57,310,192,354
1072.821,183,59,312,179,354
1093.839,181,59,319,202,355
1114.845,182,55,323,203,355
1135.871,181,61,317,199,355
1156.848,180,54,320,203,355
1177.843,177,56,320,210,356
1198.825,178,61,324,201,357
1220.173,177,55,313,198,358
1240.859,176,56,313,188,358
1261.824,179,56,319,189,358
1282.836,177,57,314,189,357
1303.824,179,54,316,190,355
1324.813,183,58,316,189,356
1347.071,182,59,318,190,355
1366.879,180,60,319,187,353
1387.860,183,60,318,183,354
1408.906,183,59,314,184,354
1430.049,184,52,314,187,354
1450.852,186,52,316,184,354
1472.098,185,53,311,197,352
1492.836,180,51,310,185,356
1513.834,180,53,316,193,354
1534.809,179,51,316,196,354
1555.909,178,55,306,199,352
1578.505,183,60,304,197,352
1597.830,181,60,301,183,351
1618.809,181,60,300,188,349
1639.825,181,60,311,191,349
1660.819,179,60,302,198,348
1681.807,184,58,300,196,348
1702.805,183,60,297,197,348
1723.812,181,60,291,197,348
1744.844,182,58,294,198,347
1765.853,181,55,277,199,347
1786.845,181,55,273,199,345
1807.841,183,56,286,196,346
1828.859,180,61,294,190,343
1849.864,180,62,290,188,344
1870.862,176,61,288,188,344
1891.890,180,62,301,190,342
1913.198,179,64,306,190,343
1933.880,177,63,311,188,344
1954.848,177,64,308,190,345
1975.817,175,60,309,190,346
1996.866,176,62,311,191,345
2017.840,176,63,312,192,343
