# BSL Gesture Data
"# User: 001, Gesture: 10 (Static), Sample: 2"
timestamp_ms,thumb,index,middle,ring,pinky
2.044,5,72,230,131,4
22.406,4,79,229,136,3
43.397,5,83,225,134,2
64.425,6,82,229,138,3
85.428,4,78,226,136,6
106.504,6,72,227,136,4
127.439,3,79,229,137,3
148.318,5,77,229,141,3
169.586,5,78,231,146,3
190.393,5,77,234,149,3
212.287,5,76,237,145,3
232.388,4,78,233,141,3
253.425,6,73,232,145,2
274.438,5,71,213,148,3
295.431,3,68,235,149,3
316.440,4,73,232,150,2
337.444,5,75,230,150,2
358.433,7,73,226,146,3
379.465,4,75,230,147,3
400.412,6,74,236,147,2
421.433,5,79,232,146,4
442.439,6,81,225,147,3
463.417,4,77,236,142,3
484.417,6,81,249,144,3
505.439,4,79,270,126,1
526.503,5,80,295,134,5
547.433,5,81,293,126,2
568.430,20,83,285,130,2
589.421,24,77,311,113,4
610.422,23,77,314,125,3
631.442,25,68,302,126,1
652.419,26,69,293,127,2
673.446,26,73,305,117,1
694.424,28,76,311,122,2
715.465,28,76,308,118,3
736.435,27,66,293,126,2
757.427,30,68,288,129,4
778.420,30,70,301,110,3
799.432,30,67,287,113,3
820.443,29,71,274,128,5
841.446,29,74,262,132,3
862.435,28,75,284,131,2
883.416,29,75,270,131,4
905.001,29,73,269,135,4
925.446,29,74,286,136,4
946.424,29,74,289,136,1
967.438,28,72,294,134,2
988.456,28,71,285,132,4
1009.411,27,68,300,133,2
1030.384,28,66,287,131,3
1051.404,28,66,299,132,3
1072.375,23,67,274,133,3
1093.401,26,65,290,132,1
1114.379,27,66,285,131,3
1135.391,27,65,276,128,3
1156.406,29,65,282,124,3
1177.390,28,68,258,141,2
1198.409,27,63,262,127,3
1219.409,27,66,239,134,2
1240.432,28,62,278,141,4
1261.405,29,64,276,144,1
1282.555,28,66,280,148,2
1304.636,26,64,302,133,6
1324.452,26,66,291,133,3
1345.419,28,68,295,138,3
1366.780,28,68,284,140,4
1387.804,30,67,306,144,4
1408.444,26,69,311,147,2
1429.494,27,68,308,148,3
1450.630,28,68,309,148,3
1471.435,27,67,308,147,1
1492.429,27,70,301,149,3
1513.428,28,68,300,144,2
1534.381,28,68,297,129,2
1555.617,30,69,304,139,4
1576.429,27,69,299,142,3
1597.427,29,70,295,123,2
1618.429,29,71,309,128,3
1639.436,27,71,314,117,3
1660.411,28,71,311,127,2
1681.414,26,72,313,119,4
1702.419,29,70,317,116,3
1723.474,29,70,326,116,2
1744.413,27,71,320,120,3
1765.699,29,69,312,119,4
1787.237,28,71,311,114,4
1807.871,28,74,315,112,3
1828.390,26,71,316,114,2
1849.928,25,74,287,113,4
1870.390,27,71,298,109,4
1891.391,28,70,319,134,3
1912.331,28,71,310,137,3
1933.403,27,73,312,141,7
1954.312,29,73,305,142,3
1975.573,28,73,319,141,2
1996.433,28,73,307,142,3
2017.430,27,72,295,145,2
