# BSL Gesture Data
"# User: 004, Gesture: 1 (One), Sample: 8"
timestamp_ms,thumb,index,middle,ring,pinky
1.819,5,25,222,4,0
22.782,5,25,224,2,0
43.754,6,4,221,26,0
64.762,4,7,222,34,0
85.819,5,25,222,36,0
106.874,4,28,214,36,0
127.989,4,32,141,35,0
148.778,7,27,141,28,0
169.760,5,27,148,24,0
190.763,10,27,144,17,0
211.752,5,27,149,17,0
232.767,5,26,144,20,0
253.744,5,26,140,17,0
274.759,4,29,149,3,0
295.770,35,39,135,3,0
316.790,31,43,108,0,0
337.772,33,42,122,0,0
358.781,36,41,214,0,0
379.798,43,42,358,0,0
400.820,234,46,385,133,0
421.759,272,44,440,274,0
442.757,302,72,454,312,0
464.277,334,86,475,369,25
484.808,355,114,494,435,29
506.111,367,116,497,461,30
526.880,382,108,518,475,47
548.587,382,104,524,472,63
568.815,389,100,546,472,153
589.788,445,100,532,491,173
610.851,518,100,492,495,211
631.805,508,93,429,486,220
652.925,501,85,419,487,235
673.806,514,82,439,496,239
694.756,528,64,419,505,240
715.797,523,66,429,505,243
736.789,520,82,447,507,245
757.762,532,84,449,508,241
779.215,532,91,451,508,242
799.949,530,97,448,505,237
820.918,534,97,449,503,240
841.748,542,100,449,503,232
862.752,550,97,452,504,235
883.850,547,96,449,506,233
904.833,549,91,452,506,234
925.786,551,89,453,507,236
946.804,559,90,453,505,233
967.955,555,92,454,504,237
988.792,558,92,455,502,239
1009.754,558,90,454,500,241
1047.800,555,90,455,504,242
1051.742,558,87,456,505,240
1072.756,553,90,454,504,240
1093.758,554,93,455,500,237
1114.726,556,90,456,503,240
1135.716,559,92,457,504,240
1156.743,559,91,457,503,239
1177.739,560,93,458,505,240
1198.766,561,90,458,507,238
1219.798,564,94,458,505,237
1240.796,563,95,457,506,238
1261.969,565,95,458,506,237
1283.552,567,94,456,505,235
1303.827,568,94,457,506,235
1324.908,570,94,458,505,237
1345.739,568,96,461,503,238
1366.847,568,95,467,503,239
1387.840,569,94,474,502,239
1408.839,569,96,475,501,239
1430.113,566,95,467,502,241
1450.756,567,95,469,503,241
1471.859,567,94,478,502,241
1492.754,566,98,488,503,239
1514.190,565,95,491,503,240
1534.859,563,95,485,501,241
1556.026,564,95,494,502,241
1576.888,559,96,499,502,244
1598.022,559,94,503,504,244
1618.853,562,95,505,504,244
1639.835,562,96,502,504,245
1660.842,562,95,505,504,246
1681.843,564,98,505,504,246
1702.850,562,95,506,503,245
1723.848,562,96,508,505,246
1744.848,564,95,508,506,245
1765.904,563,97,511,505,246
1786.871,564,97,511,505,244
1807.852,562,95,511,506,245
1828.839,565,95,513,505,242
1850.726,563,95,512,504,244
1870.807,563,98,512,504,243
1891.702,563,95,513,504,242
1912.849,562,95,511,503,242
1933.845,561,93,513,502,242
1954.796,562,95,510,504,241
1975.873,561,93,507,503,242
1997.044,560,93,506,504,242
2017.860,561,92,505,505,241
