# BSL Gesture Data
"# User: 006, Gesture: 2 (Two), Sample: 4"
timestamp_ms,thumb,index,middle,ring,pinky
1.883,1,101,329,49,45
23.030,1,101,341,51,46
44.014,2,106,337,61,45
65.000,2,103,337,56,44
86.007,0,98,352,64,44
107.018,0,93,340,62,47
128.039,1,92,345,62,49
149.803,1,90,344,62,45
170.033,2,95,320,45,45
191.016,4,101,320,60,44
212.072,0,110,284,61,45
233.698,9,114,263,38,46
254.026,11,121,227,59,47
275.127,272,126,232,60,46
296.042,341,120,236,60,45
317.030,407,116,220,41,45
338.056,452,123,255,38,43
359.051,482,124,290,86,94
380.068,506,119,272,149,169
401.329,522,129,273,186,177
422.044,527,119,259,104,218
442.990,532,126,285,211,225
464.450,540,111,280,318,230
485.074,541,107,292,364,236
505.992,544,101,318,419,253
527.112,550,106,354,430,281
547.987,548,106,380,407,295
568.992,549,108,382,444,285
591.178,552,108,392,435,290
612.035,555,113,383,446,295
632.056,559,107,384,433,298
652.995,561,91,381,418,299
673.986,564,90,382,401,299
694.981,566,98,375,389,298
715.980,567,88,387,400,302
736.977,564,90,386,387,310
757.980,563,89,384,392,310
779.002,563,90,388,396,312
799.997,561,89,389,404,307
821.005,562,96,392,415,308
841.997,562,101,379,422,307
863.027,563,88,369,409,293
884.064,563,90,368,428,291
905.138,561,91,355,430,295
926.453,563,89,354,427,297
947.185,560,89,365,428,297
969.278,561,91,377,428,291
989.340,562,86,391,425,288
1009.997,561,87,397,425,286
1031.050,564,92,391,423,288
1052.010,562,94,385,423,282
1073.017,563,94,393,423,279
1093.954,562,99,391,421,286
1114.979,563,101,394,417,279
1135.988,563,100,385,418,275
1156.970,563,93,386,419,275
1177.976,563,100,391,421,275
1199.033,561,103,398,423,273
1220.041,559,95,406,420,277
1241.013,560,101,411,420,277
1262.149,558,104,413,421,276
1284.017,558,99,406,421,275
1304.002,558,104,412,422,280
1325.053,561,105,413,422,276
1346.045,562,108,406,423,277
1367.099,563,104,406,421,275
1388.131,562,105,409,418,277
1409.261,562,105,407,417,275
1430.116,563,106,411,412,277
1451.054,562,106,412,419,276
1472.061,563,111,415,418,271
1493.135,563,107,406,415,271
1514.081,563,106,409,415,273
1535.094,563,106,409,416,275
1556.167,561,106,410,399,274
1577.127,560,105,401,410,274
1598.166,560,114,388,412,273
1619.133,559,109,374,413,275
1640.088,558,112,371,410,272
1661.112,559,109,376,396,274
1682.354,557,110,372,393,272
1703.108,555,111,381,394,273
1724.112,555,115,374,400,273
1745.110,555,115,371,387,273
1766.049,556,105,376,373,273
1787.094,552,104,382,368,274
1808.088,551,111,379,375,276
1829.089,550,116,369,374,271
1850.104,551,105,374,376,269
1871.111,554,109,378,375,275
1892.094,553,103,376,375,271
1913.116,550,113,372,372,272
1934.183,549,114,363,380,272
1956.807,548,115,372,373,270
1976.056,549,125,372,373,271
1997.120,550,124,375,373,272
2020.563,552,123,376,374,272
