# BSL Gesture Data
"# User: 002, Gesture: 8 (Eight), Sample: 8"
timestamp_ms,thumb,index,middle,ring,pinky
1.995,54,116,164,100,3
22.546,28,117,142,87,4
43.533,38,116,147,92,4
64.521,43,116,149,95,2
85.502,63,116,151,94,4
106.503,77,118,139,84,3
127.521,62,117,141,58,1
153.181,18,119,157,76,2
169.792,38,119,207,76,1
190.574,38,121,113,120,4
211.493,26,119,108,16,6
232.457,19,120,103,16,7
253.455,19,122,163,321,7
274.534,21,124,103,436,10
295.533,14,122,103,464,13
316.494,13,121,122,487,14
337.494,15,122,89,493,15
358.505,14,121,244,487,15
379.490,14,122,291,483,15
400.530,15,121,296,475,13
421.491,16,120,305,468,16
442.549,13,120,307,466,15
463.574,15,121,296,468,14
484.650,18,120,305,468,14
505.603,20,120,290,468,14
526.498,19,120,298,467,16
548.807,17,121,302,468,15
568.544,17,120,301,468,15
589.635,20,122,300,468,13
610.548,17,119,305,467,14
631.535,18,120,301,466,14
653.079,17,119,304,466,16
673.605,18,120,302,467,15
694.654,18,120,300,467,16
715.527,17,118,289,468,15
736.784,19,116,293,468,16
757.673,19,118,286,467,15
778.476,18,110,261,465,14
799.540,19,107,245,467,14
820.738,17,107,262,466,14
841.676,17,105,255,465,14
862.508,19,107,248,467,14
883.827,18,107,251,466,16
904.631,19,108,248,466,14
925.502,18,103,277,465,14
946.584,16,106,269,460,13
967.507,21,107,277,460,14
988.517,23,105,281,459,14
1009.519,19,108,278,456,13
1030.501,18,107,274,458,14
1051.486,17,110,268,457,13
1072.476,16,110,261,456,14
1093.464,17,108,203,456,16
1114.464,17,107,197,455,16
1135.567,19,108,260,457,14
1156.422,19,109,242,456,15
1177.470,19,111,275,457,14
1203.148,20,113,286,459,17
1220.090,21,105,252,458,16
1240.542,21,105,175,458,15
1261.469,18,108,201,458,16
1282.578,21,108,242,457,15
1304.051,20,107,203,458,15
1324.525,19,106,229,458,15
1345.520,19,108,237,457,19
1366.516,19,107,151,457,15
1388.208,22,108,133,455,16
1408.562,19,112,123,455,19
1429.522,21,109,117,455,17
1450.512,20,109,94,455,15
1471.772,20,105,92,456,17
1492.499,20,108,89,455,19
1513.701,19,112,118,453,18
1534.540,20,111,127,454,18
1555.517,21,110,88,455,20
1576.562,17,111,91,455,19
1597.687,18,115,88,458,21
1618.603,18,112,90,456,19
1639.611,18,112,90,455,18
1660.503,18,113,89,455,18
1681.759,18,109,89,455,17
1702.796,21,115,88,455,19
1723.498,19,108,89,456,18
1744.517,19,105,89,454,17
1765.548,17,108,92,456,19
1786.550,21,109,90,456,18
1807.497,19,108,92,455,18
1828.498,18,107,89,456,18
1849.667,19,108,86,457,16
1871.175,18,105,87,456,17
1891.889,19,105,85,456,17
1912.513,18,103,85,456,18
1933.534,17,104,88,458,17
1954.570,16,102,86,457,15
1975.491,17,102,85,456,16
1996.463,17,107,85,456,17
2017.508,15,103,85,453,16
