# BSL Gesture Data
"# User: 001, Gesture: 1 (One), Sample: 3"
timestamp_ms,thumb,index,middle,ring,pinky
1.970,34,52,231,79,1
23.205,63,53,223,30,1
43.984,85,48,245,79,1
64.985,112,48,219,72,1
85.950,77,49,236,57,1
106.958,88,48,236,56,2
127.927,45,46,215,86,1
148.945,36,50,216,67,2
169.974,66,50,218,93,1
191.019,29,51,217,71,1
212.007,162,51,216,86,2
233.213,172,56,268,25,10
254.187,208,38,279,45,14
275.657,225,29,276,52,33
296.176,243,31,351,200,41
316.990,262,27,341,304,43
338.191,276,28,406,329,62
359.015,299,40,476,369,71
379.982,308,40,528,444,77
400.981,315,40,523,454,89
422.773,334,47,538,474,91
443.392,416,49,576,483,92
463.985,425,54,575,502,94
484.986,463,55,577,500,131
506.036,491,62,575,498,182
526.995,500,62,580,495,248
548.976,504,59,581,501,255
569.465,509,59,584,505,259
589.976,513,60,587,511,261
611.027,522,57,587,508,277
632.463,534,60,585,508,276
653.054,536,61,588,510,269
674.007,539,61,582,514,278
695.057,539,61,586,519,279
716.253,542,63,588,522,281
737.141,541,62,585,517,285
758.028,542,62,589,519,283
778.992,545,60,588,520,287
799.938,545,62,591,521,288
821.332,544,62,583,520,290
842.100,546,60,587,521,287
863.146,546,59,586,521,284
884.012,545,60,583,520,289
905.007,544,61,584,520,286
926.135,546,60,584,520,286
946.995,545,59,585,521,288
967.970,546,60,585,522,291
989.006,546,63,584,520,290
1010.017,547,59,583,520,285
1030.979,548,60,583,520,287
1051.997,549,60,584,520,288
1072.993,549,59,583,522,288
1094.078,548,60,586,520,286
1114.970,549,61,584,521,286
1135.974,549,63,584,521,285
1157.079,548,63,585,522,284
1178.065,546,62,584,523,286
1199.031,546,63,584,522,285
1220.096,546,60,585,521,286
1241.004,549,62,585,521,285
1261.964,548,61,586,520,287
1283.031,546,60,584,521,287
1303.971,547,61,586,522,284
1324.959,549,61,584,521,286
1346.091,549,61,585,521,286
1367.042,548,63,585,522,285
1388.165,549,61,584,521,284
1408.942,548,61,588,522,285
1429.993,547,61,588,523,283
1451.056,549,59,586,522,286
1471.954,549,61,587,521,287
1492.976,548,61,589,521,286
1513.988,550,62,588,521,285
1535.002,550,61,587,523,287
1557.310,550,62,587,521,286
1576.934,551,63,588,520,286
1598.012,549,60,588,522,286
1618.947,550,62,589,521,286
1640.447,549,61,591,521,285
1660.959,550,59,590,521,285
1681.942,550,60,590,519,284
1702.923,549,61,590,520,285
1723.942,550,63,590,520,285
1744.922,550,60,590,519,284
1765.925,550,61,589,519,283
1786.921,547,62,589,521,283
1807.911,548,61,587,520,284
1828.951,546,60,590,521,283
1849.977,547,61,591,521,283
1871.020,549,61,592,521,285
1892.241,546,60,589,519,286
1913.020,547,60,591,520,286
1934.260,546,59,591,521,286
1955.004,545,60,589,522,289
1976.020,548,62,590,520,288
1996.966,547,59,592,522,288
2018.079,545,60,591,522,289
