# BSL Gesture Data
"# User: 004, Gesture: 3 (Three), Sample: 3"
timestamp_ms,thumb,index,middle,ring,pinky
1.897,0,87,338,58,0
22.411,0,85,339,56,0
43.376,0,87,332,57,0
64.426,1,88,325,55,0
85.494,0,96,325,59,0
107.024,0,93,320,56,0
127.454,0,93,324,55,0
148.397,0,92,321,52,0
169.367,0,93,324,50,0
190.604,1,90,321,50,0
211.412,7,90,323,50,0
232.444,18,89,324,50,0
253.379,19,84,310,48,0
274.430,17,74,316,46,0
295.424,19,92,312,42,0
316.375,20,74,311,40,21
337.427,18,78,361,31,52
358.417,14,75,373,45,63
379.472,39,71,359,46,94
400.422,43,70,346,44,165
421.518,50,60,357,18,193
442.535,249,63,356,16,198
463.659,310,61,363,19,202
484.404,310,67,371,12,208
507.155,361,72,341,17,207
526.372,373,75,396,15,209
547.362,380,71,390,15,210
568.399,382,72,404,9,217
589.401,391,73,401,13,219
610.389,396,72,402,25,225
631.359,413,78,399,36,223
652.427,416,77,402,44,230
673.743,429,82,395,49,240
694.376,425,84,398,48,242
715.441,432,81,394,45,232
736.805,436,80,407,40,233
757.448,433,82,404,45,236
778.555,435,76,404,40,243
801.270,429,71,409,51,245
820.354,427,72,408,53,242
841.362,427,72,410,48,236
862.376,422,71,407,50,239
883.391,433,71,406,50,240
904.368,438,72,409,57,242
925.379,437,71,405,56,242
946.380,432,72,408,56,241
967.463,429,70,407,58,245
988.772,432,70,408,56,242
1009.371,433,69,407,56,243
1030.376,432,71,415,57,243
1051.416,427,70,409,58,243
1072.357,419,71,416,58,247
1093.368,421,70,411,58,244
1114.387,428,71,404,57,241
1135.385,419,71,412,59,243
1156.344,417,72,412,57,242
1177.360,418,71,414,59,243
1198.405,402,71,403,58,244
1219.335,406,70,405,58,245
1240.362,392,67,410,58,245
1261.443,387,71,408,59,244
1282.494,386,70,412,59,246
1303.432,386,71,406,59,243
1324.431,387,71,405,59,243
1345.408,386,68,411,60,240
1366.395,383,67,404,60,241
1388.671,383,67,410,62,242
1408.423,386,68,413,62,240
1429.517,383,70,412,60,240
1450.826,382,69,410,60,240
1472.318,381,64,409,58,240
1492.487,381,69,413,57,239
1513.809,382,70,416,59,239
1534.622,370,67,410,59,241
1555.593,370,70,409,59,240
1576.436,385,71,409,60,241
1597.434,384,69,411,59,242
1618.409,383,69,412,63,245
1639.378,382,68,411,59,241
1660.393,384,72,411,62,244
1681.388,381,74,414,62,243
1702.550,381,72,417,61,242
1723.464,380,71,418,64,243
1744.408,379,72,417,64,243
1765.386,379,71,420,62,242
1786.395,379,73,417,63,242
1807.393,372,74,416,62,244
1828.368,371,76,416,63,241
1849.355,370,75,420,64,242
1870.425,369,75,418,64,240
1891.405,373,74,418,66,241
1912.401,374,71,419,64,241
1933.383,371,74,414,63,241
1954.377,370,72,412,63,241
1975.397,371,73,399,61,241
1996.398,372,73,409,63,241
2017.405,371,75,419,64,242
