# BSL Gesture Data
"# User: 002, Gesture: 2 (Two), Sample: 6"
timestamp_ms,thumb,index,middle,ring,pinky
2.208,54,118,356,111,5
23.479,171,116,371,108,9
44.375,217,116,370,119,4
65.370,238,117,393,143,3
86.340,242,119,368,169,3
107.334,242,119,365,174,8
128.397,233,116,351,110,13
150.859,258,115,350,172,16
170.430,255,114,359,227,18
191.394,298,105,317,236,18
212.390,314,105,315,259,14
233.420,293,104,314,323,169
254.447,298,101,363,358,223
275.410,347,110,316,375,246
296.821,362,106,309,394,266
317.542,355,115,402,405,276
338.398,416,107,420,409,278
359.372,434,106,351,421,279
380.787,437,106,377,420,278
401.487,451,107,372,420,280
422.519,462,106,414,427,282
443.617,469,107,380,424,283
464.643,471,108,415,434,283
485.985,477,108,415,445,282
506.386,489,107,408,449,282
527.368,499,106,347,452,284
548.473,494,108,360,452,283
569.535,495,107,360,453,282
590.454,493,108,370,457,284
611.443,497,108,382,461,282
632.946,496,107,329,459,281
653.460,496,107,323,457,283
674.388,500,108,377,456,281
695.426,506,108,392,457,274
716.420,498,108,390,458,271
737.401,498,108,406,455,271
758.602,496,107,414,454,270
779.397,498,106,406,458,273
800.405,504,105,414,458,270
821.396,497,104,417,458,270
842.698,498,105,431,460,268
863.475,494,104,425,463,268
884.516,496,105,419,454,268
905.468,500,105,423,455,267
926.512,495,107,416,457,267
947.605,496,108,413,456,265
968.647,498,105,423,460,263
989.501,494,103,414,457,262
1010.390,495,104,415,459,262
1031.373,498,104,415,459,262
1052.366,498,104,428,460,263
1073.360,497,104,427,460,263
1094.344,498,104,432,463,260
1115.351,498,105,429,460,261
1136.352,495,105,420,461,264
1157.352,494,104,427,459,261
1178.414,492,103,427,459,261
1199.343,489,104,420,460,261
1220.362,489,104,414,460,260
1241.247,490,104,416,464,261
1262.375,493,103,408,461,261
1283.346,491,105,413,462,261
1304.390,495,104,415,462,260
1325.453,494,104,425,464,262
1347.229,491,104,423,463,259
1369.411,490,104,427,464,263
1388.952,490,104,419,462,261
1409.380,491,104,427,458,260
1431.023,488,104,428,459,260
1451.411,491,103,433,459,262
1472.809,490,102,428,459,260
1493.691,491,103,426,460,259
1514.402,489,102,411,461,260
1535.662,489,105,408,460,260
1557.067,488,104,394,463,261
1577.357,490,104,352,458,258
1598.538,488,104,380,460,257
1619.585,488,105,353,457,255
1640.390,489,104,373,458,257
1661.284,487,106,382,462,257
1682.507,487,105,411,459,256
1703.515,488,104,407,459,255
1724.339,488,106,410,459,256
1745.338,490,107,411,461,254
1766.508,488,106,413,459,254
1787.418,487,107,419,460,255
1808.340,488,105,428,460,254
1829.493,488,105,425,459,255
1850.315,484,105,403,460,255
1871.531,485,106,413,460,254
1895.112,484,104,414,461,251
1913.826,483,104,407,460,252
1934.342,484,107,398,460,250
1955.377,483,107,408,455,248
1976.529,485,105,377,454,248
1997.616,484,106,400,456,249
2018.270,485,106,387,455,250
