# BSL Gesture Data
"# User: 002, Gesture: 7 (Seven), Sample: 1"
timestamp_ms,thumb,index,middle,ring,pinky
1.876,91,63,74,71,0
22.591,100,64,73,73,0
43.556,95,63,74,70,0
64.625,111,62,70,70,0
85.643,107,63,69,71,0
106.582,104,65,70,70,0
127.577,94,65,72,75,1
148.650,78,66,70,73,0
169.860,74,66,68,71,0
191.024,62,65,71,71,0
211.755,91,65,72,70,0
232.618,95,62,80,64,0
253.630,83,53,80,62,0
274.735,113,35,158,68,0
295.618,109,28,325,72,0
316.624,90,40,365,87,0
337.613,113,23,397,129,0
358.646,97,5,399,254,0
379.639,95,9,429,353,0
400.763,119,38,429,407,0
421.567,125,20,494,462,0
443.294,154,62,489,509,0
463.796,208,86,537,526,0
484.904,163,91,556,546,0
506.088,201,87,554,553,0
526.582,265,112,568,553,0
547.614,275,116,572,556,3
571.854,357,115,559,557,3
589.704,353,120,551,558,2
610.650,375,118,555,551,5
631.580,374,119,558,552,11
652.650,381,115,570,563,12
673.603,398,117,571,564,7
694.634,402,117,567,563,12
715.691,396,116,566,557,15
738.954,402,116,556,558,14
757.631,404,116,562,560,16
778.688,411,115,561,558,16
799.609,418,116,566,558,16
820.830,417,115,560,553,24
841.737,420,116,569,549,30
862.674,422,116,567,546,49
883.697,422,117,569,547,53
904.730,412,116,564,543,57
925.687,406,117,565,541,50
946.626,405,116,569,544,64
967.861,401,116,570,544,52
989.015,396,116,574,545,50
1009.667,390,116,572,547,58
1030.662,393,116,574,547,48
1051.689,395,116,578,546,49
1072.540,395,115,579,545,42
1093.628,396,115,574,543,58
1114.647,396,115,578,546,52
1135.639,392,119,577,543,46
1156.642,396,115,579,544,46
1177.634,400,116,580,541,47
1198.650,395,117,581,540,51
1219.666,391,118,579,541,47
1240.541,391,119,583,542,54
1261.654,387,117,583,539,52
1282.655,381,117,581,540,50
1303.626,379,118,581,541,45
1324.608,378,118,579,541,48
1345.714,379,116,580,540,46
1366.571,381,116,579,540,47
1387.554,389,114,580,540,66
1408.679,384,117,581,540,64
1429.682,386,115,578,539,54
1450.764,387,117,577,541,47
1471.715,387,118,577,539,47
1492.677,388,116,577,540,41
1513.568,384,116,578,541,43
1536.004,379,115,579,542,49
1555.941,377,116,579,540,45
1576.689,378,115,576,541,51
1597.904,382,114,580,541,46
1619.341,383,115,575,539,39
1642.226,380,115,573,540,45
1660.537,378,116,576,539,55
1681.562,380,114,575,538,46
1702.562,377,117,578,539,51
1723.567,372,116,578,540,44
1752.394,362,116,580,539,48
1765.609,368,117,580,539,55
1786.638,365,116,580,540,49
1807.725,361,114,580,541,57
1828.565,363,114,580,540,41
1849.645,368,116,579,540,67
1870.703,367,116,579,539,61
1891.554,368,116,581,541,53
1912.660,364,116,578,540,57
1933.590,355,117,579,540,64
1954.556,351,115,580,540,47
1975.549,347,116,580,541,49
1996.551,348,113,580,540,48
2017.529,347,114,579,539,45
