# BSL Gesture Data
"# User: 001, Gesture: 2 (Two), Sample: 5"
timestamp_ms,thumb,index,middle,ring,pinky
1.920,39,89,347,94,1
22.692,40,90,346,94,2
43.690,41,90,352,93,0
64.683,39,89,353,96,2
85.671,40,90,349,101,1
106.691,39,90,352,93,2
127.674,37,91,354,92,1
148.724,181,85,357,106,1
169.938,195,83,356,97,1
190.706,210,82,359,96,2
211.691,199,84,353,92,1
232.695,196,81,356,102,1
253.708,228,76,357,94,2
274.709,241,81,370,93,2
295.698,258,62,362,78,2
316.880,262,62,359,54,24
339.856,272,65,318,57,38
358.653,296,68,292,47,44
379.749,317,74,239,20,44
405.794,318,67,302,16,47
421.745,312,78,233,30,50
442.700,313,91,237,256,49
463.703,317,79,228,110,50
484.763,323,59,233,69,113
505.695,325,58,247,142,129
526.733,326,49,284,211,143
547.877,328,47,238,216,156
568.697,325,55,232,276,162
589.858,333,49,247,345,172
611.072,347,45,239,397,170
631.687,362,48,265,441,176
652.706,361,47,289,444,182
675.109,361,49,290,439,195
694.711,367,54,305,441,205
715.696,371,54,315,444,213
736.715,370,56,317,449,215
757.937,375,55,321,445,217
778.816,374,56,332,447,229
799.697,374,55,314,448,233
820.715,377,53,296,452,233
841.701,387,52,322,448,232
862.683,386,56,361,451,213
883.840,389,52,357,440,183
904.832,389,53,361,423,186
925.718,387,56,360,424,185
946.674,391,61,360,423,184
968.006,391,56,364,424,185
988.705,391,54,372,424,186
1009.681,390,55,375,421,183
1030.674,386,56,379,419,183
1051.636,389,56,379,419,183
1072.643,391,58,383,423,182
1093.652,393,53,381,426,183
1114.656,393,53,384,430,184
1135.656,390,52,381,426,186
1156.681,395,58,381,431,183
1177.695,394,54,382,431,184
1198.669,395,59,380,429,183
1219.675,389,55,383,425,183
1242.053,390,54,380,419,182
1261.641,394,51,377,416,184
1282.739,396,51,363,423,183
1303.694,396,49,362,424,184
1325.173,393,54,358,420,188
1345.756,395,49,362,422,187
1366.695,396,50,380,424,189
1387.705,391,55,381,425,187
1408.693,385,55,380,422,183
1429.783,385,56,381,422,182
1450.664,386,52,381,423,181
1471.671,385,56,383,421,184
1492.678,385,51,381,422,182
1513.682,387,53,381,422,184
1534.722,389,57,388,423,183
1555.707,391,54,383,423,183
1576.675,387,51,381,422,181
1597.800,386,60,375,423,182
1618.900,388,46,377,420,180
1639.822,392,44,384,420,179
1660.773,393,44,390,423,177
1681.691,387,45,383,424,176
1702.715,386,44,379,418,176
1723.857,385,48,362,421,176
1744.676,386,45,369,422,174
1765.692,385,43,362,421,178
1786.724,387,43,370,420,176
1807.683,387,47,365,411,173
1828.851,386,44,374,424,176
1849.698,385,45,373,431,173
1870.669,385,42,373,429,173
1891.648,385,42,360,430,171
1912.641,387,45,366,424,171
1933.660,388,35,369,430,172
1954.674,391,41,365,435,172
1975.703,399,42,364,439,178
1996.661,399,36,371,442,181
2017.656,399,31,379,442,182
