# BSL Gesture Data
"# User: 002, Gesture: 8 (Eight), Sample: 9"
timestamp_ms,thumb,index,middle,ring,pinky
2.134,92,115,125,126,5
23.163,94,116,99,126,4
44.128,96,116,133,124,5
65.127,95,109,124,127,5
87.035,99,113,164,125,3
107.160,90,116,166,125,4
129.431,89,117,146,119,7
149.610,94,113,149,118,3
169.984,94,114,102,112,7
190.987,96,114,131,113,3
212.951,96,118,143,104,4
233.147,90,118,139,95,3
254.245,81,118,140,35,2
275.146,31,119,111,140,1
296.151,47,118,142,19,7
317.134,35,120,133,72,7
338.050,19,121,180,366,14
358.982,12,121,184,481,13
380.163,6,121,105,495,15
401.157,11,122,154,494,18
422.318,15,121,253,492,58
443.146,13,122,251,488,74
464.159,16,122,243,496,87
485.037,15,125,245,492,92
506.176,16,122,243,499,95
526.972,18,121,241,499,86
548.237,16,123,261,501,87
569.165,16,121,261,502,78
590.001,17,124,264,502,68
611.160,15,122,263,499,68
632.122,15,121,261,503,65
653.018,14,122,264,502,62
674.083,14,122,254,500,59
695.008,16,121,273,499,61
719.828,14,123,255,500,59
737.139,16,122,235,502,60
758.023,15,123,247,501,69
779.042,16,123,251,501,83
801.488,14,121,192,502,100
821.015,15,122,193,501,85
842.008,17,123,239,500,61
863.038,15,126,240,501,60
884.080,16,122,188,501,60
905.076,15,122,152,500,63
926.034,15,123,159,500,58
947.111,15,123,217,501,60
968.138,14,122,214,499,59
989.061,13,122,190,501,58
1010.003,16,122,177,499,60
1030.989,14,123,190,500,60
1052.018,15,122,200,499,59
1072.968,17,122,199,499,59
1094.000,16,123,201,500,60
1114.998,17,121,213,499,61
1135.985,17,120,213,498,62
1156.988,15,122,192,500,63
1177.969,14,122,261,499,59
1198.980,16,121,239,498,63
1220.003,14,122,230,498,135
1241.031,13,121,166,499,136
1262.018,15,122,143,498,168
1283.062,15,123,143,498,176
1304.686,13,122,142,500,175
1325.567,16,122,141,497,184
1346.241,18,123,185,498,181
1367.212,16,122,170,497,181
1388.225,17,122,172,497,181
1409.081,15,123,144,497,183
1430.644,16,124,122,496,185
1450.980,18,122,124,496,182
1472.306,18,122,146,498,185
1493.061,17,122,151,494,184
1514.002,17,122,152,495,184
1535.533,17,122,128,498,181
1556.116,16,121,125,498,181
1577.026,17,123,127,497,186
1597.977,17,122,125,498,189
1618.968,15,121,128,499,191
1639.972,16,119,115,500,192
1660.983,16,121,114,496,194
1681.943,19,119,114,495,196
1702.992,19,119,113,494,196
1724.060,17,123,112,496,197
1745.016,16,119,119,496,196
1766.016,16,117,128,497,192
1787.232,18,117,125,495,193
1807.963,17,117,125,496,193
1829.078,17,117,124,496,195
1849.983,19,118,130,496,195
1871.410,17,119,123,496,194
1892.030,19,119,125,495,195
1913.077,17,117,202,494,196
1933.998,17,120,184,497,196
1955.041,18,117,198,497,197
1976.062,17,117,201,498,197
1997.014,17,118,193,494,197
2018.004,18,116,119,495,197
