# BSL Gesture Data
"# User: 002, Gesture: 4 (Four), Sample: 1"
timestamp_ms,thumb,index,middle,ring,pinky
1.991,22,145,121,119,2
22.451,21,145,124,118,3
43.452,21,147,123,118,3
64.457,21,145,124,117,4
85.426,23,146,122,115,4
106.811,20,145,120,117,3
127.930,22,143,122,112,3
148.496,23,145,112,107,3
169.468,45,144,116,108,3
190.487,62,145,109,92,3
211.657,75,146,117,85,3
232.711,353,151,117,88,1
253.734,418,134,108,86,4
274.938,472,126,109,112,3
295.642,522,139,110,99,5
316.541,552,133,103,97,1
337.417,565,131,106,96,1
358.470,577,117,103,76,2
379.461,586,139,116,74,1
400.550,595,122,114,75,3
422.313,599,123,118,96,3
442.456,599,125,114,99,3
463.553,603,125,110,112,3
484.500,603,124,99,130,1
505.924,604,124,136,116,0
526.522,603,123,121,118,2
547.459,605,120,217,134,1
568.474,607,122,276,133,0
589.519,607,119,291,164,0
610.549,608,122,277,163,0
631.467,607,124,292,175,0
652.541,609,121,290,170,0
673.454,610,124,311,176,1
694.460,609,127,284,174,0
715.470,611,130,303,172,0
736.450,611,126,262,174,0
757.435,610,125,259,175,0
778.457,609,123,281,175,0
799.473,609,124,288,175,2
820.452,609,124,283,175,1
841.470,609,127,267,176,1
862.416,610,127,298,174,3
883.494,612,127,294,174,2
904.635,612,132,296,175,4
925.501,612,131,293,173,3
946.669,614,132,300,174,3
967.446,612,130,305,172,3
989.247,613,133,301,171,3
1011.584,612,132,285,171,5
1030.466,613,134,312,168,4
1051.409,612,133,309,167,4
1072.409,612,134,291,168,4
1093.389,612,133,296,168,3
1114.403,612,127,303,169,4
1135.426,611,131,301,166,4
1156.430,611,131,258,165,5
1177.408,610,131,275,160,4
1198.430,610,132,286,168,3
1219.408,610,131,271,168,4
1240.411,611,130,189,161,3
1261.473,611,133,183,160,3
1282.412,611,133,201,159,4
1303.440,611,133,204,160,2
1324.454,610,134,178,159,7
1345.489,610,133,179,161,3
1366.422,611,130,150,158,3
1387.451,611,128,154,156,5
1408.462,611,133,160,160,6
1434.071,609,131,142,156,4
1450.461,609,130,140,157,3
1471.790,609,128,129,158,5
1493.197,610,126,134,158,3
1513.450,609,127,133,159,5
1535.780,609,126,133,159,3
1555.850,610,125,142,159,3
1576.403,609,124,131,161,3
1597.606,609,125,130,161,2
1618.520,609,129,117,160,1
1639.449,610,132,126,163,3
1660.471,609,129,124,162,3
1681.481,610,120,136,163,6
1702.478,611,117,121,161,7
1723.760,610,118,109,160,4
1744.402,609,118,106,160,3
1765.486,609,117,114,160,3
1786.452,608,116,108,156,4
1807.444,609,113,128,156,4
1828.464,609,112,130,155,3
1849.454,610,123,107,153,3
1870.444,609,124,121,155,3
1891.431,611,118,83,152,4
1912.403,610,120,87,150,3
1933.782,609,119,89,149,2
1954.777,607,119,90,149,4
1975.655,607,119,92,152,3
1996.458,610,119,94,150,3
2017.426,609,128,94,154,2
